name,last_name,coord_x,coord_y,group,voice_pitch,facial_ratio,retina_r,retina_g,retina_b,humidity_index,parent_worth,social_index,consumer_score,citizen_quality_score,prob_failure,z_index,student_id,genre_id
lelia,rose,142,-167,10,0.3760464642210293,0.43481314250340697,0.45319243858867647,0.4487762185889234,0.5211441673229621,0.476956020291977,607678,25.644116863099764,56.88456415870484,45.319243858867644,49.939207469845535,68.80232321105146,03291913-83db-425f-afe0-b8d2b283eb1f,22
leah,morton,28,-193,15,0.4063525428364272,0.600523684108699,0.5642914644375651,0.5488241067677161,0.5431764045430894,0.5163391838799485,357347,64.99094227736586,65.93375880819163,56.42914644375651,34.76630551250815,70.31762714182136,88f1be6a-6d43-44b9-835a-671074fb1024,17
doss,spence,106,-6,21,0.3308278267146787,0.5653344279119198,0.4947296172474026,0.48634777448135746,0.4941072460219312,0.5045092369272616,527868,45.25262927482606,60.92729883165625,49.47296172474026,44.48296701278056,66.54139133573393,5ed4d4e4-bdab-4324-8635-b7e30fcf572c,23
amy,porter,14,-204,10,0.25781723817026037,0.5856389659155596,0.45336690944550617,0.4791260643710691,0.46124013175852474,0.5047666327473623,449772,54.64689331939388,56.85602925721663,45.33669094455062,52.80588330296826,62.89086190851302,3657bacd-fbbc-4a45-9257-7217533a7569,2
elma,elliott,131,-49,26,0.38050361368735075,0.528552209082915,0.5593553905433497,0.6198221259041492,0.56904334395797,0.5117053232063559,367966,59.679020110101675,63.319306696608244,55.93553905433497,35.398835882912586,69.02518068436754,ff6d9452-24ba-45c9-b9ae-59913aa2112f,16
julie,rangel,73,-148,25,0.37429162229840984,0.5716002416012794,0.5273393673651863,0.29519840874329,0.5185913415994291,0.5126723786540588,472268,48.52772710090234,62.00974999519504,52.73393673651863,62.461685127928256,68.71458111492049,25c6b1db-577e-48a9-9fbf-9fa618a406c9,8
levi,correa,83,-48,33,0.23958700572916736,0.6361363483185898,0.4403070757761339,0.4692362038792657,0.40582290124475007,0.44400030077441344,474966,62.80005477217549,62.95616037916978,44.03070757761339,59.111650330482924,61.97935028645837,c9841f76-c67a-4a01-9fe0-41449f2ed5bf,9
dolphus,goodwin,120,-101,6,0.08000010340610753,0.5631022269706009,0.3691700953773317,0.6038902319750663,0.4207873712374969,0.5267535334600969,451477,57.1933087796439,47.9197091281445,36.91700953773317,50.152803244949155,54.00000517030538,21c24ca6-6eba-4807-bc27-845ba2d3ea4e,8
pink,watkins,152,-146,30,0.21598630975857303,0.6200158406636679,0.4167105379006864,0.6551051976333796,0.433234214169265,0.5667371854957134,571097,39.94201395940926,51.235982120040866,41.67105379006864,56.554247261043,60.79931548792865,7c90cc68-558e-4d81-b4e8-f7159caa28c6,3
cornelia,bradford,111,-35,17,0.2682363183231373,0.5208596542398886,0.502825558307961,0.5069905256701841,0.5328414261379559,0.5272945299989164,423316,54.99497923399297,57.46596390809893,50.282555830796106,46.290437836680745,63.41181591615687,a3a1c3cb-e671-4370-8a57-4213bc27377e,17
claribel,cano,63,-108,19,0.22010783339689288,0.5199565700541076,0.4338846555577611,0.5203517292816818,0.47488697401615015,0.502814973775779,499024,47.17916714567405,54.15716299315779,43.388465555776115,55.48936670582649,61.00539166984464,3b139f35-6633-4229-adff-71808f0cb831,19
magdalene,park,123,-24,27,0.2162615942813939,0.4693184382787304,0.43539476498830576,0.581218194737182,0.5036107381335012,0.5023133188190724,480675,47.666767486717866,53.435616028688024,43.539476498830574,62.29050766207429,60.813079714069694,e6f83f25-1e1c-47b4-b18b-8c2daaf4b3c9,9
susan,burton,136,-233,33,0.06606679997558507,0.665475912918118,0.32125941375739214,0.5300515796225179,0.3252058649826498,0.5311465201871108,663937,39.59086173049769,48.23293514777796,32.12594137573922,24.299885572514395,53.30333999877925,8437b4fb-6093-461d-8ad0-e42d5a26960b,9
