,name,last_name,coord_x,coord_y,group,docile,voice_pitch,facial_ratio,retina_r,retina_g,retina_b,humidity_index,parent_worth,social_index,consumer_score,citizen_quality_score,prob_failure,z_index,school_id,student_id,genre_id,grad_year,parent_donations_k,final_grade
3980,indiana,harrell,24,-19,26,0,0.3618943108030017,0.5086237646541606,0.5008391060593798,0.4160408864766082,0.5238795849076302,0.4569398031577845,455043,56.80232529714389,65.4074546101415,50.083910605937966,30.133489583467327,68.09471554015009,d5157c2992a5bde028a8bf1dc96384ad,ad69756e-1dce-48ff-b558-bf09a9191fd4,13,2006,50.758484759446546,84.99672837769535
4823,emil,hanson,2,-102,1,0,-0.4513744098182656,0.4232284305512813,0.5129623920178703,0.6174956950432228,0.523478693566234,0.6251753862675269,363008,57.09695578982733,30.08844913326193,51.29623920178703,38.573203997048736,27.431279509086718,d5157c2992a5bde028a8bf1dc96384ad,6f9674bd-d118-40e2-8417-c517752c7847,6,1996,50.70065659063248,83.74211145260152
4941,chauncey,garner,213,-240,34,1,0.52430006583483,0.562705662003062,0.5959119425006155,0.3580506686053724,0.5736401572988775,0.4915869736675906,424825,53.25476461136572,70.24492727491875,59.59119425006156,43.18343272337884,76.21500329174151,d5157c2992a5bde028a8bf1dc96384ad,8db2e5db-43b4-427f-bd19-c0df73383d4d,6,2008,49.92120878516989,82.01623249150649
12615,hilda,jimenez,50,-91,9,1,0.272742056434383,0.5388007495062488,0.5220889872940652,0.5593715496523984,0.5645789586368049,0.6011088308819608,391122,53.55586067522816,53.34215561343382,52.208898729406506,56.91330976244136,63.637102821719154,d5157c2992a5bde028a8bf1dc96384ad,22718754-077c-46ed-9663-cf7894e33bc4,18,1989,49.76353735974343,83.05201285203427
14680,rosalie,villanueva,6,-185,10,1,0.3149617255613575,0.6145627973483652,0.5274165890669833,0.4403664140157162,0.5100114706038028,0.5526199967534656,405634,55.30096798501008,58.188111424421365,52.74165890669833,43.47131732714708,65.74808627806786,d5157c2992a5bde028a8bf1dc96384ad,7aab6b96-7faa-4a95-8de8-741dd3273366,16,1991,50.91428397704441,83.71540434839915
15380,tillie,barton,39,-148,1,1,0.5787747659423166,0.4858745238903577,0.5859252766528388,0.361033793623204,0.5789113194948939,0.4273697983811029,531663,41.01617560619308,74.05678775413962,58.59252766528388,48.416585693852824,78.93873829711583,d5157c2992a5bde028a8bf1dc96384ad,1e2af370-7d73-439b-8a98-3a9e6060ee91,7,1994,52.15283815027709,84.71829717573065
22473,vincent,dorsey,115,-186,17,1,0.3110659696409945,0.6287117929841531,0.4827419104535285,0.4064169962806072,0.4567529367449215,0.5167803113667729,537805,46.22572118946282,60.19573763744725,48.27419104535286,63.65098563595446,65.55329848204973,d5157c2992a5bde028a8bf1dc96384ad,c584a760-14b5-48a0-8704-4d6bdd7dd6d1,11,1993,49.59817411078904,83.37572118837252
29646,manuel,harrell,62,-92,8,1,0.1855141082244596,0.5245042341280429,0.4737434783112237,0.6685949880129267,0.5185199707987477,0.6028144515990616,452454,37.52249243175936,44.33696546534643,47.37434783112237,42.71491118238573,59.27570541122297,d5157c2992a5bde028a8bf1dc96384ad,4fa84082-1e9a-4413-8407-11a4cf5426b9,1,2002,50.91908070146835,83.39662048261684
39185,louetta,spears,144,-92,6,1,0.06902949462992393,0.7009819098105089,0.41327417051867216,0.5278020027126638,0.4031750442015559,0.6201595078110247,429166,56.24223592502572,44.35395105107541,41.327417051867215,49.034783478321074,53.4514747314962,d5157c2992a5bde028a8bf1dc96384ad,104d42c6-41ab-4a53-92f4-172ba94d9e6c,10,1995,52.43768770284255,84.9180291292445
41444,winthrop,alfaro,81,-163,31,1,-0.21310224500504504,0.7633346808336758,0.2597356685010001,0.5746894751844378,0.2665107983099931,0.6566130750361188,539466,51.06004013197561,30.58475401050834,25.973566850100013,29.748475470926795,39.34488774974775,d5157c2992a5bde028a8bf1dc96384ad,44468fba-1c97-4a0a-a062-06ea04f90868,22,1983,49.99342974472908,83.46664241122986
42545,donald,leblanc,49,-4,12,1,0.22115453216207406,0.6360187163101954,0.485462374353331,0.4905932724174069,0.4579725420310504,0.5236880064537995,412267,61.64652581428717,57.65363844807957,48.5462374353331,43.00647010895012,61.05772660810371,d5157c2992a5bde028a8bf1dc96384ad,9a7e085f-7dad-433f-a02b-390aec811823,2,2008,50.62192987257082,83.90524258574659
44730,jovita,dorsey,112,-9,0,1,-0.0008626961173421321,0.5639177115220606,0.3709488404701962,0.6999746236882878,0.4197727046033349,0.5718815042858599,500977,48.21858812968375,42.37197995723884,37.09488404701961,57.760208074343815,49.9568651941329,d5157c2992a5bde028a8bf1dc96384ad,5b878e8a-43d6-4951-9899-e412c9f425aa,0,1981,49.88633171658877,82.95643883147238
